用户名,性别,IP地址,评论内容
请叫我嗶咔大人-,保密,广东,攒钱等首发[别当欧尼酱了表情包合集_嘿嘿]然后去澳门买[别当欧尼酱了表情包合集_嘿嘿]
乖乖乖乖哒,保密,山东,什么时候放出Switch3消息，赶快端上来吧[doge][doge]
王者灬只有,男,新疆,舅舅党真强
icitcupbjpdyo,保密,上海,太棒了，等续航版[吃瓜]
箱崎ちさ,保密,湖南,能1080p60就是谢天谢地
机智的英雄,保密,四川,黑框为下文做铺垫是吧
杜仲不医头痛,保密,四川,哈哈哈哈大的真的来了
憨憨某鱼干,男,未知,起飞！
syaoran仔,男,广东,今年送给自己当新婚礼物吧
好奇的大懒猫,保密,河北,第1057！爆料是真的！[doge]
MTC君,男,广东,边框停航母
゚゚゚゚无名,保密,山东,有没有人解答一下，最近想入手Switch[笑哭] 现在买是不是不合适，我看switch oled日版二手平均都一千五六的。不知道这个价格算是高还是低
发光的松鼠,保密,山东,不丑，但是也不怎么新。主要还是奔着性能提升，兼容1代卡的话，销量会提一点，不知道二代卡能不能1代用。最后，我不会买，我那1代1年没开过机了。。。
VAI1YA,保密,广东,纯磁吸我感觉可能还讨喜点，但是有插口的话，感觉又回到那个问题，每次插之前要看看有没有对准……？
五天一刀,保密,广东,本世代又要世界第一了
KJ乔乔的兔,保密,中国澳门,总算出了，感觉过段时间我可以入一台switch1玩玩一直想玩的动森[大哭]
大鹅队长,保密,广东,行 还是十年前的边框
电视姬有辐射,男,湖南,额啊我的马车[星星眼][星星眼][星星眼][抓狂][抓狂][抓狂][抓狂][抓狂]
Chappel查普洱,男,北京,钱准备好了！加价首发！！[星星眼]
奶糖味,保密,广东,真的假的？？？等了7年！！
totalinstit,男,广东,街霸6能不能安排上啊
AK的大机哥,保密,河北,见证历史！[打call]
Iron-God,保密,福建,见证历史（？）
急吼吼_,保密,安徽,头一次叫2不改名字啊[不问天_问号]
麻瓜瓜呱咕咕,保密,天津,可以60针吗[惊讶]
枫零のIP9,保密,福建,终于电子垃圾升级了[吃瓜]
古希腊掌握买iPhone的神,保密,广西,NS2变大了，不会就跟steam deck一样吗？以前的普通的ns是真掌上游戏机。但是ns2变大了，应该就不再像是掌机一样的大小了。就很像Steam deck.一样。
咖啡配烤肉,保密,河南,虽然这个普通版看起来屏幕就比我现在的OLED大，但大黑边就是难受的慌，蹲一波性能提升和新功能再考虑考虑吧，再不然就是直接等ns2的OLED[胆大党_微笑]
我都想那个了,保密,湖北,没人关心重量吗，我觉得一代好重，玩几个小时小拇指就会疼，换了好几个壳子都没用，后来又买了个lite才解决，这二代比一代还要大一圈，如果重量也增加就不太友好了[尴尬]
卡密啥吗,保密,中国香港,这性能对比Rog Ally X和Steam Deck怎么样？想玩1080P 60帧的王泪，又想等等后续版本[抓狂]
遂行崩音,男,广西,最不值得“啊？”的一次，这时间段还不出就是错过各种宣发周期了，而且出二代机在这两年的消息里几乎是板上钉钉的事，没有玩家会觉得这是意外之喜而不是情理之中吧...出二代机也基本是玩家呼声最高的事情之一
おい_しい,男,四川,感觉任天堂也想不到什么创新了？以前最期待老任的新机又能有什么新花样 N64、NGC的手柄造型多新颖啊 第一次看到NDS双屏可给我牛逼坏了 包括第一次看到ns可拆卸手柄加各种体感游戏真的能感觉到这只能是任天堂的游戏 看完这个ns2预告内心没什么波动 可能近几年游戏主机也就这个样了？几大或许厂家只能拼性能堆游戏了
幻光天涯,保密,福建,把掌机模式砍掉吧，专攻主机吧，只要有掌机模式就注定这机子的性能开发不了太高，毕竟机子是要拿在手里玩的，不能太重又也不能太耗电，但性能差又要被说[笑哭]
深山闲鱼,男,广东,这手柄插拔让我害怕，这稳定性行不行
討逆,保密,四川,虽然知道机器应该还会垃圾，但是游戏值得
神户小鹅,男,福建,我的ns，18还是19年买的来着，一共玩了塞尔达1，风花雪月，天穗种田姬，13机兵防卫圈，转眼ns2都要出了
-绪风-,男,安徽,凌晨1点有没有发布会啊[桃源_乖巧]
LoveRSam_ワクワク,保密,未知,耶！我要买！
Tysiclat,保密,北京,见证历史
薛定的饿饿饿猫,保密,山东,护航作现在有多少消息了？
全神共愤,男,上海,上下双接口？
三棋战功宝宝巴士,保密,北京,见证历史
迷斯特扑,保密,上海,"能60帧塞尔达吗？
能60帧塞尔达吗？
能60帧塞尔达吗？[捂眼]"
海拉鲁之魂,男,上海,就放了个马车，也不知道是8是9[生气]
海老虾,男,黑龙江,沃日
不会唱歌的佩皮诺,男,广东,wc
坏小孩L俏皮,保密,上海,多少？
浪客-伽古拉,保密,山东,国内买基本就日版和港版这两个版本，2代发售肯定会有小日子和香港的黄牛囤，他们近水楼台先得月，国内等2代的玩家会先买个1代玩着，等2代降价，所以国内的黄牛们我给你们说，现在先囤一代，多囤！！！信我的准发财[OK]
好大一个球,保密,荷兰,配置呢，屏幕呢，性能呢！！我王国之泪到底能不能不掉帧你说啊你说啊你说啊任天堂你为什么不说话！！！！！！！！！！！！！！！
银铃壁虎,保密,广东,这个logo直接加个2有点难绷
ALmord桐杏子,保密,辽宁,手柄的接口怎么看起来感觉会断啊 不安desu
aBlndo,男,广东,讲真的作为任天堂十多年的粉丝真的是挺失望的，都加想要的都没有，任天堂一直是以玩法创新闻名，憋了这么多年就憋出了个手柄磁吸，就是不谈玩法创新毕竟延续ns功能也是个好的选择，屏幕大黑框依旧在连性能还是个未知数，总之这样的作风完全不是熟悉的老任，就一个这么普通的升级款等了8年，这和老小三到新大三的升级一个意义，甚至想等到下一代任天堂主机又得快十年后了，只能期待游戏阵容了
喰灵的退魔剑士,男,山东,这背面大大的“2”好丑呀，设计设计吧任天堂
同情没独占的游戏机,保密,四川,看到你们不买我就放心了。17年3月守着抢日亚上的货体验真不好。你们不抢是最好的[滑稽]
38823640640_bili,保密,青海,我的评价直接等ns2 升级版 [笑哭]
爱写字的笨笨鼠,保密,黑龙江,[星星眼]
影之刃零速速发售,男,安徽,竟然是真的[星星眼][星星眼]
Mluf,保密,江苏,包溢价的
宫廷魔术猫,男,黑龙江,我只在护航作是什么
梦柒尘,男,浙江,真就加个2？？？？[哦呼][哦呼][哦呼][哦呼]
神意高达,保密,辽宁,都是我的
我叫南鹏宥,男,福建,没玩过Switch，想问一下，这个东西有分国行和外版吗？如果有的话，国行值得购买吗？还是哪个版本比较好？不关乎保修，还有账号是注册外服好还是就国服？
Chalice_W,保密,贵州,我有个问题，他手柄这样改了，那像健身环这样的外设应该用不了了吧？[捂脸][捂脸][捂脸]我新买的健身环，准备换台机子呢
假斯逼斯你撕,男,上海,个人看法，以卡带为视角来说，一个卡带容量最大多少呀，既然向下兼容，那要保证ns能运行，那卡带是不是要分开制作？如果不分开用同一卡带，那画面堆料会不会超出卡带容量，导致ns运行困难呢？那要ns又要ns2，那ns2是不是处于一个尴尬的位置，就好像用ps4的盘放在ps5上运行又或者这么说用4090的运行未高清过的游戏，那ns2是不是要单独做个高清补丁，没发售到底如何谁也知道呢，总之我觉得我不会买首发。
p残月q,男,四川,一个游戏机迭代而已，为啥一堆人搁那刷见证历史？
小柚柚快跑,保密,泰国,"ns2主机模式浮点计算3.1？
rog x 浮点计算8.6。。。。
差距还是很大阿[笑哭]"
游戏导演李大昂,男,安徽,任天堂终于也沦为常规升级的游戏厂了，勤奋的聪哥要气活了。
香烟配无花,保密,广东,感觉不会有很大の突破，至少外观上和一代没啥太大区别，把它理解为switchOLED之后の性能再次升级版都没问题
bili_用户名违规,保密,广东,音响设计在底部？感觉一些小细节不如switch，这个2该不会是临时冒出来的吧？虽说隔了好多年，但有种仓促出版的感觉，好多细节就没有打磨，感觉不看好这一代，大家直接等改良款吧，这款大概会崩。
真盖塔爱看爱外星人TV,男,上海,我个人感觉游戏机设计是有一种让人有想玩的欲望的设计感觉的，具体来说就像小孩看见了一个新的游乐园一样，充满了好奇感和想玩的欲望，我个人觉得像gba，switch这些就做到了这种感觉。反观现在的switch2，涂了一身黑，科技感是有了，但是让我感觉跟其他win掌机一样，一看就让我有一种电子阳痿感，只能期待以后的换色了[海虎表情包_好劲呀！！]不知道大家有没有这种游戏机设计语言上的感受[海虎表情包_毛虫]
爱好逍遥,男,广东,这黑边，算了等OLED 吧[笑哭]
CPU乄,保密,福建,芯片呢？具体配置呢？[辣眼睛]想看看配置判断它是活还是死
sunny打边炉,男,安徽,冷知识，Switch1同年的手机，是iphone8，三星s8，华为mate10，小米mix2，锤子坚果pro
少男映画,女,广东,为什么不叫ns  u[doge]
スカイカビ,男,山西,"我终于知道支架的作用
这个支架就是防止你两手端着玩，结果次世代摇杆漂移磁吸不小心断开，因为这玩意看起来大，所以根据我20%可能成功的定律，越大的可能越重，所以咣当一下，力量不足，摔到地上就炸了"
小橙XiAo,女,浙江,插口的真的很容易松动 掰断都有可能
I-LUV-ZIHAN,男,河北,是首发OLED版吗？不是的话我还是等等OLED吧[doge_金箍]
雪峰的沉默,保密,江苏,我只关心switch2的分辨率有没有提升，有提升就买没提升就不买
哥哥别网暴我,男,广东,主机上也收到信息了
夜猫少爷萌缔,男,四川,但是我真的好喜欢我老款喷3限定款的配色啊😭😭😭
镜面强反射,保密,广东,原谅我没见过世面，跟着刷了见证历史哈哈哈
许鸣雌ouo,保密,福建,王国之泪大师模式快端上来吧 没有dlc更新个难度也行啊
无一无靠老零化,保密,浙江,我机器在吃灰。
意识飞碟,保密,天津,正式公布前，爆料了外观和名字，没人信，都说那一句话，全世界都知道了switch2的样子和名字，就任天堂不知道，最后官方公布后，这群人都销声匿迹了。。。告诉我们一个道理，任何事情都不要带有惯有思维去看待。
小那三,男,贵州,本来就嫌switch太大不好揣裤兜里，switch lite已经是正好放裤兜的极限，现在出这个2更大了，算了算了，安安心心等switch 2 lite吧。
绯尘炽煜,男,广东,评论区谁能给我推荐一个性能超过或等于ps4pro的掌机。而且重量最多500g左右。续航至少四五个小时。还要有创意，不能是普通掌机的样子。要是全面屏。大小得小，方便带出去。有自己的操作系统。有一个综合了lcd和oled优点的屏幕，不能有缺点。最后价格不过3000[思考][思考]
露姆爱小雪,男,黑龙江,网友真是，没拿到主机，没玩到游戏就喜欢先挑毛病[吃瓜]ns1代发售前也是如此，任天堂也不是每一代都天翻地覆的创新，像你们喜欢拿岩田聪说事，聪哥在的时候也有nds~3ds  wii~wiiu ，也是有败有成，咱就是说拿到新机之后真不行了再开骂也不晚是不是？[吃瓜]
Anon-头顶怎么尖尖的,男,湖南,"Switch 2的浮点运算性能为掌机模式1.71 TFLOPs，底座模式3.1 TFLOPs。
索尼和微软的主机浮点性能如下：
PS4 1.84 TFLOPs，PS4 Pro 4.02 TFLOPs，PS5 10.2 TFLOPs。
Xbox One 1.4 TFLOPs，X1X 6 TFLOPs， XXS 4 TFLOPs， XSX 12 TFLOPs。"
Springfield_off,男,辽宁,有些人惯性思维把机圈那套东西拿过来评价ns。有点不是很合适
诺亚之城,男,山东,"我就说嘛，肯定是要这样命名的。
肯定不能把switch这个名字去掉。
因为一个机器的名字可以持续的累积名声。
就像索尼的PS系列，微软的Xbox，他们都一直使用了相同风格的名字，所以名声也一直积累到今天。
[OK]
哪有好不容易做起一台机器，然后把这个名字放弃掉的。
wiiu那那纯粹是机器设计太失败了，
名字可一点都不背锅，哪怕当时wiiu发售前改名叫「switch」仍旧大宝石。卖不动。"
银墨水,男,加拿大,你知道的，我一直是忠实的任天堂粉丝，我的爱机一直是任天堂switch的正统继承ns2。我们曾经一起度过很多美好的时光，这机子好玩的不可思议，我认为我和ns2会产生很好的化学反应，我已经迫不及待要在宝可梦ZA里mega进化了。至于steamdeck，我祝他不再暖手宝掉帧。
siji001,男,广东,只要游戏别再整720p30帧就行了，最低最低底线第三方也得有720p60帧吧？官方的至少得全部1080p60帧吧
淡島幻魂,男,湖北,"很感慨，17年高三，惊为天人魂牵梦绕。
现在是社畜了，对娱乐都提不起精神了"
牧尘ai,男,江苏,任天堂我哭死 今天生日最好的礼物[大哭]
丨tegTeg-,保密,湖北,性能大概升级到什么水平，有没有懂得？
XXI_YO,保密,上海,索尼：oh my gosh，感觉还是我的pro性能更胜一筹啊！
FatherSucke,男,湖南,早买早享受[星星眼]建议大家现在入手老款呢
夕阳的影子lilliilliil,保密,重庆,我还以为是3ds到switch的那种进化，原来只是ProMax[笑哭]
羽生小哥哥,保密,中国香港,希望到时候闹钟便宜点
猫猫撅抹茶,男,吉林,P3R能上吗......
マクロー,男,贵州,这回原神就上得去了吧
即使生也会腐朽,保密,海南,这黑边也太大了吧[笑哭]
chi66_神秘路人,保密,江苏,吃灰2[doge_金箍]
阿燃莉正促可了,男,福建,太好了!switch进化成switch2了
崽过来被rua,保密,山东,建议改名switch U
魅塔奈特-lioufdan,男,河北,杰哥和Bo叔也看了
车慢猫,保密,中国台湾,说个有意思的事情，此时ytb上任天堂官号已经把firstlook at nintendo switch的预告删掉了[笑哭]
村上夏树JP,保密,河南,ns吃灰已经两年了吧，上次开机还是塞尔达，吐槽左摇杆太不耐用，没玩多久就出现摇杆漂移，自己动手换了两次，某宝配件还算便宜
Edenga,男,河北,2025年了，汽车导航的屏幕都无边框了，任天堂从哪找来的这大黑边[笑哭]是隔壁toyota剩下来的吗[微笑]
御瑾恋,保密,广东,比起机型，更在意护航作，如果就是马车9的话感觉没必要刚推新就买了，等等后续的独占吧。
Earth__616,保密,江西,有点小失望， 老任最擅长是的创新，原来期待还有的vr，ar之类的新玩法，合着也跟着微软索尼搞更大更重堆硬件了，这么多年就出了个ns pro？你可是任天堂啊，玩家本来也不是冲着性能去的，能不能再多来新特性
河狸合理,保密,浙江,请各位期待性能的同时考虑一下现代地球科技的水平好不好，别整得手持设备性能要6T 8T的才正常
猫屎咖啡Avicii,男,江苏,不是吧，你加大机子很尴尬啊，steamdeck又大又重，根本带不出门，而swtich拆下手柄刚好可以塞进小挎包里，swtich对我来说就是外出和聚会玩玩，又是躺床上玩玩，变大变重不是什么好主意，我感觉swtich在原版尺寸也能提升性能，你再怎么提升也不如pc，ps的，不如在掌机的便携性上下功夫。
DJAY999,男,辽宁,有句话不知道当讲不当讲，这个配色好难看，这个支架也好难看，完全没有第一代那种类似玩具一样精致的感觉。。。
乐高式云玩家,保密,河北,取消了外置内存卡，改为256，512，1t，还有马9限定机
Crisis-Core,男,上海,这纯黑也太商务了，没有其他配色吗？还是等限定版吧。。。
大哥是沈阳吴彦祖,保密,辽宁,ns就是玩独占跟小游戏的 看来这次之提升性能了不愧是2
Dahl丶达尔,男,浙江,有没有一种可能，我用第一代ns也能拍一个一样的视频
-就寝御礼-,男,安徽,"原来Switch更新迭代那么。。慢的吗[笑哭]
（从来没用过不是很懂）"
是勺子哒,男,浙江,从兔坦进化到危险兔坦了[笑哭]
LFI_10969,男,湖北,逛了一天社区大部分人都在骂，但估计到时候发售的时候身体还是很诚实的，老任就没有不赚钱的时候[doge]
梨岚绊夏,保密,山东,奶刃一直没敢买，到时候在ns2上玩喽[2233娘_大笑]
Neotop1a,保密,广东,720p 60就烧高香了
SpringinAutumn,男,陕西,为啥都说马车9是开放世界？
真正的铠哥,男,福建,等喷4限定[doge]
没有aibo,保密,江苏,靠，刚买完ns就要出2了
滋滋滋滋滋滋滋崩,保密,广东,我更想知道性能如何，能不能普及60帧，1的30帧玩起来太难受了
只有红茶可以妈,保密,广东,机子泄露 视频泄露 连高层在内部会议里很愤怒的事都泄露了
安辰亦,保密,山东,为啥弹幕都是见证历史？这也没有划时代的发明或者改进吧
粘锅的咸鱼00,男,湖北,主机模式能连接原版joycon吗？手上6个joycon不想买新的了[跪了]
成都第一包子-,男,四川,好无趣的宣传片，古川时期的任天堂也就这样了
钦定女主,男,江苏,性能持平steamdeck就算成功
M0squ1to丶,女,广东,希望别那么快被破解，不想再被跳脸了
马铃薯不等于土豆,男,广东,？迭代不是很正常吗 为什么是见证历史
IOS,保密,江西,磁吸稳定性怎样啊，玩游戏激动的时候会不会把手柄掰开？
二犬句,保密,云南,话说ns的卡ns2能用吗，能的话我就把OLED出了买新机了[星星眼]
SaL1a,男,上海,大佬们想问一下想去日本线下买的话得抢吗
全视之图,保密,河北,"建议改名为：大Switch，再出个预告视频：世界有老任🤘🏻，再出个小动画：大 Switch 的 魔 法 厨 房 👍🏻
但是从Switch到大Switch的性能提升，有我黑塔到大黑塔的伤害提升多吗？"
鵜村抜刀斎,男,广东,想问一下向下兼容卡带不
陈永平水彩,保密,江苏,万众期待就出了这么个玩意，我把话放在这里，如果正式发布还是这样，首发不久我们就能买到了。欢迎大家到时候来喷我。
Astrobot资深粉丝,保密,辽宁,能玩黑神话吗[星星眼][星星眼][星星眼]
-・こ・-,保密,广东,希望黄金太阳能出个新作上这个机器
szyche,男,重庆,新机来了ZA该来了吧[吃瓜]
造梦师D,男,四川,不会真能放桌子上当鼠标吧
流天汉,保密,北京,有塞尔达之类的护航大作吗？不然感觉买了的话实质和PS5PRO一样呀，玩的还是老游戏那就有点尴尬了
刮痧师傅避寒,男,海南,说实话我觉得switch有点鸡肋了。放在家里玩玩独占还好，出去跟朋友玩的时候基本上在玩手机[笑哭]买了一台lite和一台oled分别玩了两作塞尔达就没了。真要聚会起来我说实话不如打王者来得直接[笑哭][笑哭]
゜C,保密,浙江,"经典见证历史属于是
这代性能大概是PC平台什么水平 跟steamdeck有优势吗"
生气的白猫猫,保密,江苏,为什么两个joycon都是1号
麦芒不吃香菜,保密,广东,怎么二代弄成黑色了，感觉配色设计不如之前的呢
BluBluSpheal,男,加拿大,我想等个宝可梦的限定 但是首发阵容的游戏肯定有很多需要玩的怕第一代性能跟不上 好纠结
蚂蚁地狱,保密,北京,还有一个问题，ns1的掌机模式30帧的游戏，到了ns2掌机模式能提升到60帧吗？还是说只能让30帧更稳定呢？[酸了]
李嫑嫑BiuBiu,保密,宁夏,掌机玩家还好，但是连电视的玩家真能忍受低分辨率的画质？
老头子灭了你,男,山东,无聊的换代，没新意。把这货改个名叫ns pro没有一点违和感，大概率就是个改了点外观的性能增强版，产品设计语言也没变。看样子任天堂依旧在高价卖低成本机器
雲雲众生,保密,安徽,swith2建议入手吗，前年买的PS5吃灰了，倒不是不爱玩，就是被索狗气死了，没有第三方独占，游戏还比STEAM卖的贵，很多游戏优化还比STEAM版的垃圾，还有PSN会员涨价，就想着买台SWITH好歹能玩玩独占啊。
超级只因化,保密,四川,芯片性能提升了多少，是否可以移植一些其他平台或PC游戏，比如GTA系列、双人成行、原神、绝区零、鸣潮、星战系列、泰坦陨落、巫师、只狼......
落雨诚风,男,山东,这个算力比我预期低太多了[笑哭]我还以为能有40多t
素晴konosuba,男,江苏,ns上次异度3dlc打完吃灰至今了，看看有没有什么新游戏，以前我买游戏会优先有掌机模式的ns，但自从前年突然喜欢上ps的奖杯系统后就一直优先ps了，ns估计只买独占了[妙啊]
此在旅人_或空的幻境,男,湖北,马车9可能是护航，3d马尿应该是肯定护航了，旷野之息和王国之泪出个ns2升级版打包放一起卖也很有吸引力。
IO异常,保密,四川,这种抱着玩的时候用力一下不会直接把手柄掰下来吗
冷馒头jam,男,重庆,8年了 终于舍得干点人事了 任天堂[大哭]
Astrobot资深粉丝,保密,辽宁,4399游戏机[星星眼][星星眼][星星眼]
点进来是来学习的,男,河南,能不能破双系统[doge]
玄金灻,男,北京,ZA赶紧宣发吧
TPO莫古,保密,新疆,硬件真的是一点惊喜都没有。。。 更高的性能（这是肯定的）更大的屏幕（这也是肯定的），没了，居然没有任何创新。。。  都说PS5换代创新小，但至少它手柄有创新。  而这个NS2真的是半点硬件创新都没有。 期待它的未来软件阵容吧
空気coolki,保密,中国香港,看到各种讨论，别的不说，有人不希望ns2继续成功
吉川抵抵,保密,广东,掌机屏幕黑边为什么都弄得这么宽啊[吃瓜]
果子Akinashi,女,山东,感觉这个磁吸还是插上的，不如滑轨酷，颜色也没有原来的好看，还好当初没做等等党[Mygo表情包_溜了溜了]
一条安德鲁猫,保密,广西,switch的设计太过于完美了 导致2的设计不是很惊艳
NightsRaln,男,江苏,左右黑边应该没办法了，被磁吸部分给占了
度书如年的小孙,男,安徽,我是真玩不来任天堂的游戏，早先买了一个ns又便宜卖掉了，还搭了一个塞尔达和怪猎
武當真傳宇文逸,男,黑龙江,先不买，过两年出续航、OLED再说[doge_金箍]
万向轮WaXialonnnggg,男,广东,"劣势：
首发抢不到
游戏氛围差（在国内玩）
国行审核慢"
夸能电池,男,湖南,拉了个大胯，好幽默的黑边，好幽默的支架，好幽默的一个2。我不是不能接受性能升级，但这么明显的给oled版留余地是不是太糊弄人了？而且还不确定性能升多少呢。祖传的硬件革新也没有，加个看起来很容易断裂的磁吸就算是？真就半代升级，早两年前就该出了吧？本来就不算便携的板砖又大一圈，体积很影响性能发挥吗？
污七哈一打几,男,湖北,这逼弹幕发个见证历史是真的让人难绷🤣🤣
Cozy是柴野,保密,广西,那我现在是不是可以入oled了，最近pdd1570左右价格感觉挺友好的[笑哭]
我做M总还手,保密,辽宁,感觉没啥变化啊，熟悉的大黑边，一眼真的分辨率，无法忘记的库存lcd🤓☝️有了！这代就叫ns vita吧[doge]
亓官明娈,保密,重庆,switch就是任天堂主机的完美形态，主机掌机合二为一，无敌牛的创意，希望这个产品形态一直延续下去，类似ps，iphone
旺旺小兵兵,男,新疆,变化还没GB到GBC的区别大，应该是GB-GBlight的区别
微辣鸡翅,男,福建,这下终于能玩到1080p60fps的王泪了，王泪强塞到ns1里真的是浪费游戏质量
碎影楼主,男,河南,这音效听着不赖，很任天堂
硬盘车神教,保密,日本,请支持国行
黑汁蘑菇,保密,上海,哇偶，不过嗯，看看有啥首发游戏，再决定要不要入首发(〜￣△￣)〜
Cyndi的小粉丝,男,日本,幽默大黑边 放烧烤店 老板都不敢给我这么大的大油边。[吃瓜]
杭粘,女,贵州,价格是多少呢？[doge][doge][doge]
种花家小擎天柱,保密,陕西,拿一代玩了一会感觉很累，二代可能会更重。小尺寸应该早些发售。
Foogwa,男,未知,"期待：
1机能强一点，不要掉帧。
2产能高一点，不要加价。（几乎为零
3又大了一圈，不要太重。（砸脸很痛
4看手柄插口，后续应该会有新的配件（期待
5能不能出个官方以旧换新啊（哭
6男人的润滑剂wd40我不想再买了"
MarioKart9,保密,湖南,枪车球一直是主机基本盘。就这视频里面的滑鼠和马车，任天堂果然求稳了。
神秘的问号机,保密,江西,不是这个新手柄的连接方式，我操，这真的不会断吗那个接口。
疏心糖,保密,山西,有点炒冷饭了，任天堂之前的机器每代变化都很大的。
喵了个咪的大黑猫,保密,四川,真的不考虑做一个人体工学手柄么？
车长米卡,男,浙江,之前买了一堆joycon现在都没怎用，现在没用了[大哭]
苏谛斯,保密,广东,听说没有TF卡槽了，不会真不支持内存扩展吧？[辣眼睛]
弎六東西,男,四川,这屏幕大黑边在2025年是不是有点小众了
KDBonFire,保密,广东,岩田聪去世了过后，任天堂就像是失去了乔布斯的苹果
夜半G调Goo,男,上海,可以说手优秀的设计能沿用很久，也可以说是任天堂实在想不出能在价格上和switch差不多但又更创新的主机创新玩法了，不太敢迈太大步，另外就是放不下switch市场
巴啦啦小魔童,保密,浙江,NDSL-3DS既视感，都是上一代太成功了，希望能继续像3DS一样继续成功
Arcinsect,保密,广西,任天堂：只要接口不紧实，我的接口就不会松[doge]
天涯何处覔只因,保密,黑龙江,ns2可以玩ns1的老游戏，那ns1可以玩ns2上的新游戏么[哦呼]
谢谢了小333,男,四川,芯片终于从原始人进化到现代人了[笑哭]
黎臻p,保密,辽宁,"无所谓了，反正我的switch已经坏了
那就等一等吧"
w4dd1e,保密,山东,终于来了 马车9护航[打call]
天涯何处覔只因,保密,黑龙江,等喷4限定机[doge]
crushonmi,保密,上海,见证什么历史，没看懂
玩游戏不坑的汐冻,保密,江苏,那么节奏天国有在做了吗？
COC-元,男,陕西,别问，问就是 49 年刚入国军[doge_金箍]
圣天辉,男,广东,嘛整体和爆料和预想的差不多，黑边比前代oled大有些遗憾，logo不好看、不过从某种意义上来说或许意外地“有效”www?个人倒对这些方面不算那么在意啦。嗯.......不过要说的话，我对这个初发布视频还是感到相当遗憾和不是那么喜欢的，倒不是因为机器相关的内容，而是我还是会比较喜欢那种有“人的游玩、玩家的喜悦”出现在画面里的公布。其实就是类似ns初公布视频那样，由玩家的游玩画面带出一项一项新的特点（当然相比起这次的升级，从wiiu到ns的，能直接体现在玩家游玩场景的新东西肯定是更多的），甚至说比起展现设备，更多地带出一种玩家喜悦的状态和游玩的情景，我觉得会更令人兴奋而有遐想空间，会更有一种体验通感的幸福。又或者就算不是这样，而是像ps5pro的发布时那样，有工作人员以对话的介绍口吻来说，也会有一种拉进玩家间距离的感觉，我也比较喜欢。现在这个视频展现设备结束后，直接甩出来下一个具体宣传的日期，总感觉有种“神秘”或者说“就先看着等着吧”的思路，我个人不是很喜欢（虽然像是机器本体上蜕变出新样子的设计，整体的音乐配合和节奏，我觉得其实真的做的挺好的）........当然不得不说任系平时的很多宣传还是有我喜欢的方向性，我很喜欢ns初公布pv，超级喜欢宝可梦日月发售前成连续的友情故事pv，很喜欢平时ns广告中给家人买礼物和家人尤其是不同代际的人一起玩游戏的视频，也很喜欢gakki居家游玩系列pv，所以这次ns2初公布这个难得机会，不是一个带上这种展示和氛围的宣传方式，我就感觉好可惜啊........嘛当然这是我个人的一点偏好罢了，而且来日方长，我相信ns2在他的生命周期中还是会给我们带来不少这样的展示的www[光之美少女-表情包_莉莉安天使]
SKY237,男,海南,"是挺想再搞个掌机玩的，之前是已经有了ns lite，把野炊玩完之后就一直吃灰。最近对rog的allyx挺有物欲的，结果ns2又公布了[tv_生气][tv_生气]，又得重新规划。
目前配置还没有具体参数，玩ns主要是图独占，而ns的移植游戏表现又一坨。。。
或许可能两款都要是合理的😇😇"
阳光-X,男,湖南,"感觉这次这宣传片只针对了名称与外观的变化
新机的主要玩法以及游戏阵容一个都没透露(除了马车9的一点点演示)
然而那疑似光电传感器的东西以及“C键”的具体作用也不明确🤔……
总之先期待一手吧，耐心等到4.2，应该一切都会得到解答的(~˘▾˘)~"
Cheese114_,保密,贵州,说实话，不喜欢这样的设计，特别是那个蓝红摇杆，还不如换成黑的，而且后面的支架一看就很脆，我觉得还不如照着1代那样设计得了....
枫枫啵,男,河北,这个插拔手柄，感觉很容易坏
Zestblue,保密,广东,说实话ns2本身机器就没什么好期待的。大家之所以催得不行主要还是ns的性能已经严重跟不上时代，并且影响到了第一方游戏的产出和体验。没几个人在玩王泪究极手那个掉帧会忍得住不骂出声吧。但是真的看到新机详细参数还是觉得这个机器更应该在21年就出来了。等到25年不知道是在等什么
蛋殼碎片,女,浙江,笑点解析：switch2热搜排名还没星铁高
Magnolia8,男,辽宁,游戏机上的存档怎么办
Mavis520,保密,湖北,"等等党：刚出来肯定贵 再等等 
           ：出来有一段时间了 肯定要出升级版了 再等等
           ：什么？要出ns3了？再等等 直接买3
[滑稽][滑稽][滑稽]"
喵了个腻,男,广西,向下兼容，那能兼容大气层吗[doge]
八部房,男,山东,主要看游戏，ns给我最大的震撼就是健身环，一个能让游戏机直接变身健身器材的神创意。我觉得既然这次ns的机体扩大性能增加，那是不是可以尝试一下vr模式的游戏？我真的感觉ns是最适合搞vr游戏的机子（自带高敏红外线摄像头，而且还有3d震动，搞个定制的手套插上手柄感觉真的能玩vr，而且还能投影到电视上不用对着脸玩，移动可以靠特定的手势完成，比方说左右招手是翻滚，握拳向前移动，张手进入vr模式）
羽丘吉他大王,保密,内蒙古,比起插拔接口还是更喜欢滑动，不过换成这种应该不会像滑动用久了两边活动吧
有栖川绪方,保密,广东,性能能不能有手机骁龙8elite的程度，或者8gen3？
小驴子捏,女,浙江,多嘴问一句，性能提升到什么程度，有什么新颖的功能吗？如果都没有那就等我的1代被淘汰了再考虑[难过]
