用户名,性别,评论内容,IP属地
蜂蜜抽子86,unknown,暑假买的日版oled，回来一破解，和朋友玩老爽了，用不着[滑稽],中国-河南
史上第一块小饼干,male,既然性能超过ps4能不能把血源移植上ns2[doge_金箍],中国-河南
爱吃桃子qwq,unknown,4K王泪有可能吗😇？,中国-河北
卷卷子132,unknown,这什么屏占比，真神人,中国-广东
羽汐_official,unknown,动感的音效给我听赢了,中国-福建
dreamboyn81,male,有这么丝滑吗[doge_金箍] 给我也整一个[蹲蹲],中国-浙江
doubleegg123,unknown,倒勾直接糕槽，Switch2后年见！,中国-四川
四畳半主義者,unknown,见证历史的都是什么神人😅,中国-河北
江晴雪,unknown,果断关注，然后等半代升级[doge_金箍][doge_金箍],中国-山东
哈湫秌qiuqiu,female,动森限定机请出[蹲蹲],中国-江西
夏夜的十六夜,male,玩老任的游戏还是得买,中国-浙江
猫来挠,unknown,就没人疑问长时间鼠标模式会磨平吗,中国-辽宁
T_歪比巴卜_T,unknown,NS2？NS乙型！,中国-四川
江崎w_,male,这玩塞尔达两代能比原版流畅很多吗,中国-辽宁
世界和平和平和平,unknown,我的switch2什么时候端上来,中国-重庆
国宝熊猫061023,male,哈哈😃你是……,中国-湖北
想自律的胡某人,unknown,终于不用玩30帧的塞尔达了,中国-湖南
路过买个雷电酱,unknown,终于熬到2出来了[热],中国-青海
鸽子Nelly,female,呵，长大了,中国-湖南
语月清,unknown,有生之年了,中国-河南
loststars星星,male,包溢价的，盲猜到手四五千,中国-福建
小夕摩,unknown,别冲首发，后面肯定会出长续航版,中国-北京
相遇在现在,unknown,switch的设计我觉得一直都很完美，最致命的感觉是性能问题，帧数和分辨率真蛮重要的,中国-江苏
比利比利戒色中心官方,unknown,已经知道switch2的半代改款怎么改了[再见],中国-江苏
此生唯爱莎莉娜,male,你说得对，那我宝可梦ZA呢[微笑],中国-江苏
羽濑川渡,male,怎么说呢，过两天散步到任天堂公司附近去看看吧。应该会有公告或者啥的，亲自看到才能信它啥样，除了变大了一点，没觉得有啥提升（大概）,海外-日本
杨来了羊,unknown,期待期待，继续环游在美妙的世界中[藏狐],中国-新疆
Lehootight_,unknown,虽然一直在喷但该买还得买,中国-湖南
JonnyTow,unknown,我能在ns2上看到黄金太阳重制吗,中国-浙江
暗黑式,unknown,没啥儿，提升啊。任天堂不准备进VR领域吗？对手索尼都和苹果合作进军VR游戏了。,中国-重庆
我被脂肪封印了,male,这个大黑边[怪怪小黄豆_多喝热水]后续肯定会出缩黑边的同款再骗一波钱,中国-新疆
情比钻石坚,unknown,终于发布了，还好没买PSP,中国-江苏
28775428046_bili,male,NSL,中国-天津
勇者王诞生-摆烂人,male,外观插上以后以后怎么这么像deck,中国-新疆
仮面ライダーX酱,male,这次护航大作是什么,中国-浙江
bili_7570707512,unknown,贱名好养活,海外-英国
志俊4444,female,陪跑有没有任斗2,海外-日本
Solaris_17,unknown,通知栏怎么关？,中国-广东
千早爱音zz,female,take my money plz😘,海外-澳大利亚
麽麽灬Tea,unknown,黑边停航母,中国-安徽
风与树与海与月,male,见证历史让我感到离谱，这是真人刷的还是机器刷的。,中国-湖南
北冥傲月,male,我不管设备如何，新机器的护航作是什么，很期待，有必要，考虑入手2[星星眼][星星眼][星星眼][星星眼],中国-江苏
薇尔丶莉特-伊芙加登,female,这经典的大黑边！还是这个味儿。,中国-陕西
一只很懒的绵羊,unknown,不知道能不能用一代手柄连二代主机玩派对游戏￼￼∑(O_O；)不然我四个手柄怎么办[笑哭],中国-广东
阶梯计划只送大脑,male,还好兼容 期待全新画质的旷野之息和王国之泪哈哈哈红红火火恍恍惚惚[打call],中国-浙江
进击の麦克斯,unknown,除非出点好玩的独占，要不然想不到买的理由,海外-瑞典
Vincent初雨,unknown,还是航母跑道黑边啊[大笑][大笑],中国-四川
子亦扬,male,NS 2？❎ NS 改！✅,中国-江苏
花崎峰峰,unknown,终于来了！这下就等za的消息了[doge],中国-云南
UUNKY,male,看到屏幕大黑边的时候释怀的笑了,中国-江苏
雨何时能停呢,unknown,你只需付费10刀就可以让你的ns游戏享受1080p模式[歪嘴],中国-天津
芸芸众众,male,这代主机能不能玩三男一狗,中国-天津
了一栗,unknown,我踏马刚买的一代,中国-湖北
认真的阿真,male,现在卖二手的Switch一代主机能卖多少钱[脸红],中国-山东
青い鳥のリズ,unknown,任天堂他自己知。。。啊？,中国-安徽
bigchushen,male,接下来我要提到一个switch 2都出来了二代都还没有出来的游戏,中国-四川
巴萨传奇C罗,male,弹幕发nm的“见证历史”,中国-河南
鸭十八_,male,护航是啥,中国-浙江
゚゙゚゙゚゙,male,艹我刚买的1代今天到货[笑哭],中国-广东
一梦十年枯,male,switch能玩switch2的游戏吗？,中国-江苏
飒爽的雷恩,unknown,第一年保证溢价100%[笑哭][笑哭][笑哭]黄牛狂喜,海外-日本
艾莲_,female,我选择原谅这个世界1秒钟 晚自习上的头昏脑胀 烦躁的不行。自我挫败 还好有你[大哭][大哭],未知
REDvoice_,unknown,艺术品 出必买[惊喜],中国-江西
dreamingindeep,unknown,竟然不是4.1公布[吃瓜],中国-浙江
大大蠢蠢哒,unknown,像改了又像没改叫nspro还差不多,中国-河南
胖胖不跑跑,unknown,TF卡槽呢？,中国-河南
芝士折纸,male,这下畅游掉帧森林了[脱单doge],中国-山东
褪色长夏丶,unknown,可以玩王者荣耀吗这个东西？,中国-河南
小吴-Invincible,male,咋感觉变化不大？是我的错觉吗[辣眼睛],中国-广东
其真無马爺,unknown,弹幕哥这也能见证历史吗,中国-辽宁
高玩梁,male,消息越来越多了，出新机器的事居然都传到老任那去了[doge],中国-山东
ReGZ,male,想当年以前的女友送我ns，现在ns2都出了，但是女朋友…变成了老婆[doge],中国-上海
Carr0t,male,健身环史诗级削弱，岂不是还得买一对一代的手柄才能在ns2上玩啊[少女乐队的呐喊表情包_咬牙切齿],中国-江苏
三寿鸽,unknown,switch2可以玩switch1的卡带吗,中国-陕西
骚年跟我来一发,unknown,能被破解吗[doge],中国-天津
春日野穹我挚爱的时光,male,老任会打击黄牛吗,中国-湖北
北半球的赤赤,unknown,首发能抢到不,中国-黑龙江
合法的大家,male,买PS5还是switch,中国-北京
-赵完松-,female,能上给他爱6吗,中国-广东
洪兴堂,unknown,太空母舰黑边,中国-福建
呵海,unknown,不炒到8000我吃[汤圆][汤圆][汤圆],中国-江苏
小小山下士,male,快点出lite好吗,中国-陕西
JHU统计学学士,male,b这代芯片怎么样，好破解吗,中国-江苏
何人君,male,17年买的原版ns，终于可以更新换代了[喜极而泣][喜极而泣][喜极而泣],中国-福建
傅德正,female,1的卡2可以用，那2的卡1能用么[doge][doge],中国-山东
什麽桂,unknown,你能表演一下那个嘛？😆 哪个🤔 就是那个啊！那个！😁 哦哦哦那个啊😮 “任天堂都不知道自己要出新机了”🤪🤪 🤣👉🤪🤪🤪哈哈哈哈哈哈,中国-浙江
华纳新dc宇宙超人,unknown,估计是看到财报switch销量已经超过ps2才发布的[喜极而泣],中国-广东
勾芒君,male,直面会正好是我的生日，太期待了[给心心],中国-山东
怓尛雦豩,unknown,这下又能看ag老师马车冲分了[Mygo表情包_让我看看],中国-新疆
柠檬黄酸,male,看到这个我貌似理解为什么当初有人会错把wiiu当成wii的半代升级了[笑哭],中国-江西
゚゙゚゙゚亚托莉,unknown,什么都见证历史，是这么用的吗，手机发布是不是也要发见证历史,中国-江苏
PureblackTK,male,之前看好多人说switch2爆料全是假的，现在打脸了,中国-贵州
Hiiitil,unknown,bu的“见证历史”尬得有点好笑了🤣,中国-黑龙江
爱学习的认真少年,male,话说买这个能不能国补[doge][doge],中国-广东
SSR白嫖王,male,哈哈哈和爆料的一样，手柄丑了[doge],中国-重庆
-批-原-,unknown,IGN还是一如既往的投自制,中国-上海
我要长肉啊,male,能玩上高清的异度之刃2吗，不想看马赛克了,中国-广东
蹲街伴寂寞,male,弹幕刷见证历史的给爷看笑了,中国-山东
XYX111XYX,unknown,gta6独占是哪个逆天仙人发的弹幕,中国-四川
Dveis0318,male,等等，这次真的叫2啊，按照牢任来说不因该是其他名字吗[辣眼睛],中国-湖北
月夜里的黑白,unknown,没看懂弹幕刷见证历史,中国-广西
黄閽,unknown,有点期待啊，手持sd和rogx，忍了好久没入switch一代，希望这次能有很大进步,中国-中国香港
麦咭小芋圆红茶欧蕾,unknown,正好把我多的那台以旧换新了，赶紧端上来吧,海外-澳大利亚
iutrwd,unknown,我还是喜欢一代的设计,中国-湖南
朴敏柱宅區,unknown,重點是價格吧大概5000對我就是極限了[吃瓜],中国-中国台湾
已躺平の刺猬仔,male,大的来了,中国-浙江
ibear233,unknown,看看等其他up主评测完 在考虑到底买不买[doge],中国-广东
伊克特丶利爪,male,有种当年真三国无双8预告片的美[笑哭],中国-吉林
路人聆听myself,male,只求产能铺货上来了再发售，准备入坑再期待[藏狐],中国-云南
矢律公爵,unknown,2会有lite吗,中国-四川
季博长命更长,unknown,哦耶耶。哦啦啦啦。。果然是过年前预热。赚一波国人的压岁钱,中国-湖北
鼠维埃联盟,unknown,外型：变答辩糕，两个手柄去山西挖煤了,中国-浙江
Okinski,male,任天堂来钓翘嘴了,中国-湖北
坤雨晗,male,码的！密特罗德4还能等来，switch2先来了[辣眼睛],中国-陕西
只有我知道的物语,male,猿牲怎么你了,中国-上海
方法U刚吃饭,male,首发是什么？,中国-江苏
GRLARS,female,这手柄连接方式感觉玩激动了能直接掰下来[辣眼睛],中国-山东
生生灯火明暗无辄-,male,哥们这也能叫见证历史啊,中国-江苏
专造阿帕茶,male,刷见证历史的，你们认真的吗？[笑哭],中国-江西
CodingCube,female,全是已知信息,中国-北京
米开朗基努里维斯,male,nmd我刚买的switch,中国-北京
白开水zxb,male,护航作有密特罗德4,中国-河北
你看起来真的好吃,unknown,太丝滑了，不愧是老任,中国-山西
-一只梦梦-,unknown,希望性能高一些╮(￣▽￣)╭,中国-河北
shurima_soul,male,这下应该可以用switch玩原神了吧,中国-浙江
荒木电台,female,看着我买了不到两年的续航版😭,中国-山东
星空旧日,male,期待原神2护航大作,中国-广东
M与S不可兼得,male,爽，终于可以十点前睡觉了[doge_金箍],中国-上海
您有时间简史吗_,male,机子什么的无所谓，主要是游戏,中国-江苏
lndeed-,unknown,活下去的理由多了一个,未知
dcdyouget,unknown,等一手 lite2,中国-广东
坼丼,unknown,能给我整个大的当护航大作吗，奥德赛2赶紧端上来罢[FGO_怒],中国-江苏
このひと,unknown,登录出ns外的所有平台[doge],中国-四川
我好像没有点主食,male,iPhone 5C,中国-上海
从今起学做一颗萤火,male,没诚意等下一代，老游戏我ns上也能玩,中国-浙江
遥祭共此,male,我就想问问能不能60帧玩朱紫？,中国-福建
艾比Official,male,某4年前就说要上ns的游戏呢BV1fJ411E7uV[腾讯招聘_你充Q币吗],中国-浙江
星尘享受者,unknown,能玩原神吗,中国-广西
哇咔那斯埃,unknown,这黑边离谱了,中国-山东
蔚蓝宇宙浩瀚星空,unknown,再看一遍，怎么这短片一股苹果味？,中国-吉林
bravepang,unknown,2代一出，收一个1代oled正是好价，刷上安卓比一众安卓掌机性价比都高，还能刷乌班图当电脑[嗑瓜子][doge]（之前都说switch机能差，1千收了个oled，750收了个续航版[doge]）switch开发太完善了，同价位简直无敌[喜极而泣][笑哭],中国-河北
LOKi-808,male,正常迭代升级，没有ns，nds惊艳,中国-安徽
三非布衣,unknown,1代革命性创意，2代只是升级,中国-上海
樽前作剧-莫相笑,male,护航大作为原神,中国-山东
收藏家001,male,switch2终于憋出来了，就等宝可梦za在227的宝可梦日上进行宣发预售了，期待很久了[辣眼睛],未知
小智同学zz,male,我现在买oled不晚吧哈哈,中国-河北
V8机长,male,比过年了还开心，看得我尖叫[喜极而泣],中国-四川
陈小四CC吖,male,这大黑边看了不笑是玉玉症[兔年吉祥東雪蓮_哈哈][兔年吉祥東雪蓮_哈哈],中国-湖南
桃之天啊天,male,这是联想y700那个屏幕吗,中国-安徽
TarantulaPuzzler,male,快把新便携版怪猎端上来⑧,中国-浙江
Sodabaka_,male,手持rog ally观看[doge],中国-重庆
铺陈旧梦,male,唯一的不同，是处处都不同[doge],中国-福建
给我一只獭,unknown,不会就是性能增强版吧？,中国-上海
阿森森森在这里_Official,male,调侃老任机能落后都不让😅评论拉黑立体防御无敌了,中国-山东
大扇人乌仁吉,male,所以真是6月前后发售吗？,中国-江西
冰糕123,male,这弹幕见证啥历史了啊？我是没出来有什么历史性的新东西,中国-四川
东老师讲英语,male,用好尿,中国-河南
桀骜杰奥,unknown,我还是这句话，古川敢在2023让红绿帽一起出击。就一定说明它给switch2护航的牌更大。 总不能两个炸弹丢完手里剩张3。,中国-河北
幽香烈焰,unknown,不是，这都能吵起来？[辣眼睛] 老任从ngc之后就基本不打性能战了，重心基本全在软件上，所以吵性能的，难道指望七年才迭代一次的游戏机能一直保持性能领先吗？当游戏机是手机吗？就算是手机你也不会年年都买新的吧 ns2这个名字很奇怪吗，老任不一直都是每两代掌机才大改变，gb到gba，nds到3ds，甚至wii到wiiu，就加了个后缀数字就叫“没活了”？照这么说那索尼早八百年就江郎才尽了。,中国-四川
鱼羊狗,male,我想知道性能升级了多少,中国-广东
爱是分v吃,unknown,第一方首发阵容才是重中之重,中国-陕西
Recluse____,unknown,今年高考后想入手 合适吗 手里无游戏机,中国-内蒙古
海拉鲁之魂,male,快把我打晕，醒来直接4.2日[打call],中国-上海
三角YUKE,male,这评论区真是串子聚集地😂,中国-安徽
异色偷摸灵,male,好嘛吃[星星眼],中国-广西
壹壹贰CN,male,今年都没碰过一下，充点电拿回去给小朋友们玩儿,中国-广东
使畏杀恶,male,更多的遊戲！更多的遊戲！更多的遊戲！！！,中国-天津
雨后甫清,unknown,有点公式化了，故意大黑边，等过几年再oled，去黑边,中国-江苏
weissyamit,unknown,不是…… 只看个外观就有bro断言升级不大了？ 4.2发布会都还没看，把手柄立起来你知道用来干嘛？就想到一个鼠标了？想象力呢？ 上下俩c口用来干嘛？就想到一个扩展坞了？想象力呢？ 更别说任第一方游戏都是配合机器特性开发玩法的 Ns时代有个12switch，这次的12switch2你看到成品了？你知道有什么针对新硬件的玩法吗？ 总拿性能分辨率甚至边框厚度说事，手机商法印入脱氧核糖核酸了？ 请问手机迭代到2025年，迭代出了什么独有功能？ 隔壁🐧的新hx370掌机，甚至回头拿裸眼3d来做卖点，这任天堂早十年都玩腻不要的卖点啊 [笑哭],中国-广西
L-Rinnn,male,前年买了switch 现在很茫然[灵魂出窍],中国-河南
老蔡LC,male,因为看过泄露没什么特别期待，但这配色……还不如oled，而且这个支架怎么回事，oled不是挺好的又整成小片儿了[无语]我的评价是老任这波真没活儿了,中国-北京
楹花落吟,female,我没买过switch，请问这会像一代一样出一个oled版本吗，我想买一个同版本里更好的试一试,海外-法国
SkyMeet17,male,噗，超级丑的大黑边，还是没变[笑哭],中国-河南
Lanius_C,male,这个手柄结构认真的吗？接口就一个受力点，确定不会用久了出现弯折？,中国-河南
左纳尼乌姆,male,很难想象这是任天堂的审美，黑色好丑,中国-辽宁
五河家的七罪,unknown,这个joycon链接方式，包坏的,中国-黑龙江
楼下薯片半价啦,unknown,连接处那细细一条，我很怀疑它实际的耐用性如何…[喜极而泣],中国-山东
梗小鬼原地两钕一杯,unknown,黄牛：首发原价提升100%后打个9.8折友情价给家人们,中国-广东
绿茵战情室,male,说黑边的估计ns碰都没碰过，这玩意儿你玩游戏时候会注意到？,中国-北京
SuperMarioa,unknown,怕啥，反正游戏兼容ns1，我switch还能再战5年,中国-山东
半记安打,unknown,前面忘了，中间忘了，总之最终话，任天堂倒闭.jpg 开玩笑的，大的终于来了[大哭][大哭][大哭],中国-安徽
Ostude2P,male,只想问 能不能60帧王国之泪,中国-中国香港
人形天灾U酱,male,见证历史[打call],中国-安徽
triggerr777,male,还要等这么久,中国-辽宁
娃子的李云龙,male,小钱钱已经准备好了[喜欢],海外-英国
亿谱系隆德塔,male,没所谓，快出新火纹[墨镜],中国-广东
尧了望,male,黑黑的不像Switch1那么有辨识度了，感觉不是那么的“任天堂”了[Mygo表情包_让我看看],中国-江苏
dawards,unknown,任天堂消息真不灵通啊，我俩星期前就知道了,中国-湖南
王薯条_,unknown,还真叫ns2啊，为什么这个新的switch看起来那么山寨呢，是我的错觉吗？,中国-广东
七月桃花酿,unknown,Switch 2都出了丝之鸽还没出,中国-四川
长崎鱼世,female,这个磁吸joycon真的不会玩着玩着飞出去吗[Mygo表情包_刚睡醒],中国-广东
我从来不立Flag,unknown,喷黑边一看就是☁️，oled的黑边就是这么大，还什么等oled。本来就没打算买的在这加戏,海外-美国
1716--,male,一年前买的王泪OLED，不知道2的游戏能不能在1上面玩[大哭],中国-浙江
刺猬的亡灵,unknown,"听说性能达到了3060的50%，然后我查了一下，1060也正好比3060弱53%,看来任天堂的宣发也是懂语言艺术的啊，直接说1060是挺拿不出手的，要不再晚一年出得了，正好也是1060显卡推出10周年纪念",中国-辽宁
训练师康纳酱,male,评论区引来这么多路人。。。之前贴吧已经爆料很多了。关于任天堂新申请专利的dlss，能把720p给超到4k的技术。再加上本身2025年的芯片，表现力怎么可能还不如十年前的ps4pro，有些人就太没脑子，听风就是雨,中国-山东
耶格利兹特,male,都在幻想1080p 60呢 笑死了 哥们 拿啥散热 嘴吹吗[疑惑] 这是掌机 不是主机 主机一个风扇都比你掌机大[辣眼睛],中国-辽宁
-长期素食导致的_,unknown,护航作能不能来个switch版本，2估计四年后才能买得起[Mygo表情包_大哭],中国-广东
Sedannia形而上,male,主机侧面的针脚会不会有寿命问题。,中国-北京
呼呼V拍,male,没人觉得加的鼠标功能很鸡肋吗？如果是为了第三方的pc游戏那我为什么不直接用电脑玩？掌机模式的话为什么不直接用手柄？哪怕是连电视玩直接抱着一个手柄不比拆下来当鼠标用强？ 最关键是为了这个鼠标功能强行增加的手柄的尺寸，显得黑边更大了[藏狐]（当然如果switch2新作能把这个鼠标功能玩出花来，那就狠狠的打我的脸吧[星星眼]）,中国-安徽
Mikasa-mmmm,female,有点好奇能不能兼容现在的卡带😭,中国-天津
海拉鲁之魂,male,这才是bilibili该有的热搜！给我冲！,中国-上海
遇见猫君,male,期待，2025年是值得期待的美好的一年(=・ω・=),中国-上海
当晓,unknown,大的终于来了[Mygo表情包_Love],中国-山东
不知道我饿,unknown,我不会讲，这个舞台留给会说骚话的人[OK]，一定要来,中国-湖南
冷冷哒小小志,male,要突破60帧了吗[doge],中国-吉林
请叫我嗶咔大人-,unknown,攒钱等首发[别当欧尼酱了表情包合集_嘿嘿]然后去澳门买[别当欧尼酱了表情包合集_嘿嘿],中国-广东
乖乖乖乖哒,unknown,什么时候放出Switch3消息，赶快端上来吧[doge][doge],中国-山东
王者灬只有,male,舅舅党真强,中国-新疆
icitcupbjpdyo,unknown,太棒了，等续航版[吃瓜],中国-上海
机智的英雄,unknown,黑框为下文做铺垫是吧,中国-四川
杜仲不医头痛,unknown,哈哈哈哈大的真的来了,中国-四川
憨憨某鱼干,male,起飞！,未知
syaoran仔,male,今年送给自己当新婚礼物吧,中国-广东
好奇的大懒猫,unknown,第1057！爆料是真的！[doge],中国-河北
MTC君,male,边框停航母,中国-广东
゚゚゚゚无名,unknown,有没有人解答一下，最近想入手Switch[笑哭] 现在买是不是不合适，我看switch oled日版二手平均都一千五六的。不知道这个价格算是高还是低,中国-山东
发光的松鼠,unknown,不丑，但是也不怎么新。主要还是奔着性能提升，兼容1代卡的话，销量会提一点，不知道二代卡能不能1代用。最后，我不会买，我那1代1年没开过机了。。。,中国-山东
VAI1YA,unknown,纯磁吸我感觉可能还讨喜点，但是有插口的话，感觉又回到那个问题，每次插之前要看看有没有对准……？,中国-广东
五天一刀,unknown,本世代又要世界第一了,中国-广东
KJ乔乔的兔,unknown,总算出了，感觉过段时间我可以入一台switch1玩玩一直想玩的动森[大哭],中国-中国澳门
大鹅队长,unknown,行 还是十年前的边框,中国-广东
电视姬有辐射,male,额啊我的马车[星星眼][星星眼][星星眼][抓狂][抓狂][抓狂][抓狂][抓狂],中国-湖南
Chappel查普洱,male,钱准备好了！加价首发！！[星星眼],中国-北京
奶糖味,unknown,真的假的？？？等了7年！！,中国-广东
totalinstit,male,街霸6能不能安排上啊,中国-广东
AK的大机哥,unknown,见证历史！[打call],中国-河北
Iron-God,unknown,见证历史（？）,中国-福建
急吼吼_,unknown,头一次叫2不改名字啊[不问天_问号],中国-安徽
麻瓜瓜呱咕咕,unknown,可以60针吗[惊讶],中国-天津
枫零のIP9,unknown,终于电子垃圾升级了[吃瓜],中国-福建
古希腊掌握买iPhone的神,unknown,NS2变大了，不会就跟steam deck一样吗？以前的普通的ns是真掌上游戏机。但是ns2变大了，应该就不再像是掌机一样的大小了。就很像Steam deck.一样。,中国-广西
咖啡配烤肉,unknown,虽然这个普通版看起来屏幕就比我现在的OLED大，但大黑边就是难受的慌，蹲一波性能提升和新功能再考虑考虑吧，再不然就是直接等ns2的OLED[胆大党_微笑],中国-河南
我都想那个了,unknown,没人关心重量吗，我觉得一代好重，玩几个小时小拇指就会疼，换了好几个壳子都没用，后来又买了个lite才解决，这二代比一代还要大一圈，如果重量也增加就不太友好了[尴尬],中国-湖北
卡密啥吗,unknown,这性能对比Rog Ally X和Steam Deck怎么样？想玩1080P 60帧的王泪，又想等等后续版本[抓狂],中国-中国香港
遂行崩音,male,最不值得“啊？”的一次，这时间段还不出就是错过各种宣发周期了，而且出二代机在这两年的消息里几乎是板上钉钉的事，没有玩家会觉得这是意外之喜而不是情理之中吧...出二代机也基本是玩家呼声最高的事情之一,中国-广西
おい_しい,male,感觉任天堂也想不到什么创新了？以前最期待老任的新机又能有什么新花样 N64、NGC的手柄造型多新颖啊 第一次看到NDS双屏可给我牛逼坏了 包括第一次看到ns可拆卸手柄加各种体感游戏真的能感觉到这只能是任天堂的游戏 看完这个ns2预告内心没什么波动 可能近几年游戏主机也就这个样了？几大或许厂家只能拼性能堆游戏了,中国-四川
幻光天涯,unknown,把掌机模式砍掉吧，专攻主机吧，只要有掌机模式就注定这机子的性能开发不了太高，毕竟机子是要拿在手里玩的，不能太重又也不能太耗电，但性能差又要被说[笑哭],中国-福建
深山闲鱼,male,这手柄插拔让我害怕，这稳定性行不行,中国-广东
討逆,unknown,虽然知道机器应该还会垃圾，但是游戏值得,中国-四川
神户小鹅,male,我的ns，18还是19年买的来着，一共玩了塞尔达1，风花雪月，天穗种田姬，13机兵防卫圈，转眼ns2都要出了,中国-福建
-绪风-,male,凌晨1点有没有发布会啊[桃源_乖巧],中国-安徽
LoveRSam_ワクワク,unknown,耶！我要买！,未知
Tysiclat,unknown,见证历史,中国-北京
薛定的饿饿饿猫,unknown,护航作现在有多少消息了？,中国-山东
全神共愤,male,上下双接口？,中国-上海
三棋战功宝宝巴士,unknown,见证历史,中国-北京
迷斯特扑,unknown,能60帧塞尔达吗？ 能60帧塞尔达吗？ 能60帧塞尔达吗？[捂眼],中国-上海
海拉鲁之魂,male,就放了个马车，也不知道是8是9[生气],中国-上海
坏小孩L俏皮,unknown,多少？,中国-上海
浪客-伽古拉,unknown,国内买基本就日版和港版这两个版本，2代发售肯定会有小日子和香港的黄牛囤，他们近水楼台先得月，国内等2代的玩家会先买个1代玩着，等2代降价，所以国内的黄牛们我给你们说，现在先囤一代，多囤！！！信我的准发财[OK],中国-山东
好大一个球,unknown,配置呢，屏幕呢，性能呢！！我王国之泪到底能不能不掉帧你说啊你说啊你说啊任天堂你为什么不说话！！！！！！！！！！！！！！！,海外-荷兰
银铃壁虎,unknown,这个logo直接加个2有点难绷,中国-广东
ALmord桐杏子,unknown,手柄的接口怎么看起来感觉会断啊 不安desu,中国-辽宁
aBlndo,male,讲真的作为任天堂十多年的粉丝真的是挺失望的，都加想要的都没有，任天堂一直是以玩法创新闻名，憋了这么多年就憋出了个手柄磁吸，就是不谈玩法创新毕竟延续ns功能也是个好的选择，屏幕大黑框依旧在连性能还是个未知数，总之这样的作风完全不是熟悉的老任，就一个这么普通的升级款等了8年，这和老小三到新大三的升级一个意义，甚至想等到下一代任天堂主机又得快十年后了，只能期待游戏阵容了,中国-广东
喰灵的退魔剑士,male,这背面大大的“2”好丑呀，设计设计吧任天堂,中国-山东
同情没独占的游戏机,unknown,看到你们不买我就放心了。17年3月守着抢日亚上的货体验真不好。你们不抢是最好的[滑稽],中国-四川
38823640640_bili,unknown,我的评价直接等ns2 升级版 [笑哭],中国-青海
爱写字的笨笨鼠,unknown,[星星眼],中国-黑龙江
影之刃零速速发售,male,竟然是真的[星星眼][星星眼],中国-安徽
Mluf,unknown,包溢价的,中国-江苏
宫廷魔术猫,male,我只在护航作是什么,中国-黑龙江
梦柒尘,male,真就加个2？？？？[哦呼][哦呼][哦呼][哦呼],中国-浙江
神意高达,unknown,都是我的,中国-辽宁
我叫南鹏宥,male,没玩过Switch，想问一下，这个东西有分国行和外版吗？如果有的话，国行值得购买吗？还是哪个版本比较好？不关乎保修，还有账号是注册外服好还是就国服？,中国-福建
Chalice_W,unknown,我有个问题，他手柄这样改了，那像健身环这样的外设应该用不了了吧？[捂脸][捂脸][捂脸]我新买的健身环，准备换台机子呢,中国-贵州
假斯逼斯你撕,male,个人看法，以卡带为视角来说，一个卡带容量最大多少呀，既然向下兼容，那要保证ns能运行，那卡带是不是要分开制作？如果不分开用同一卡带，那画面堆料会不会超出卡带容量，导致ns运行困难呢？那要ns又要ns2，那ns2是不是处于一个尴尬的位置，就好像用ps4的盘放在ps5上运行又或者这么说用4090的运行未高清过的游戏，那ns2是不是要单独做个高清补丁，没发售到底如何谁也知道呢，总之我觉得我不会买首发。,中国-上海
p残月q,male,一个游戏机迭代而已，为啥一堆人搁那刷见证历史？,中国-四川
小柚柚快跑,unknown,ns2主机模式浮点计算3.1？ rog x 浮点计算8.6。。。。 差距还是很大阿[笑哭],海外-泰国
游戏导演李大昂,male,任天堂终于也沦为常规升级的游戏厂了，勤奋的聪哥要气活了。,中国-安徽
香烟配无花,unknown,感觉不会有很大の突破，至少外观上和一代没啥太大区别，把它理解为switchOLED之后の性能再次升级版都没问题,中国-广东
bili_用户名违规,unknown,音响设计在底部？感觉一些小细节不如switch，这个2该不会是临时冒出来的吧？虽说隔了好多年，但有种仓促出版的感觉，好多细节就没有打磨，感觉不看好这一代，大家直接等改良款吧，这款大概会崩。,中国-广东
真盖塔爱看爱外星人TV,male,我个人感觉游戏机设计是有一种让人有想玩的欲望的设计感觉的，具体来说就像小孩看见了一个新的游乐园一样，充满了好奇感和想玩的欲望，我个人觉得像gba，switch这些就做到了这种感觉。反观现在的switch2，涂了一身黑，科技感是有了，但是让我感觉跟其他win掌机一样，一看就让我有一种电子阳痿感，只能期待以后的换色了[海虎表情包_好劲呀！！]不知道大家有没有这种游戏机设计语言上的感受[海虎表情包_毛虫],中国-上海
爱好逍遥,male,这黑边，算了等OLED 吧[笑哭],中国-广东
CPU乄,unknown,芯片呢？具体配置呢？[辣眼睛]想看看配置判断它是活还是死,中国-福建
sunny打边炉,male,冷知识，Switch1同年的手机，是iphone8，三星s8，华为mate10，小米mix2，锤子坚果pro,中国-安徽
少男映画,female,为什么不叫ns u[doge],中国-广东
スカイカビ,male,我终于知道支架的作用 这个支架就是防止你两手端着玩，结果次世代摇杆漂移磁吸不小心断开，因为这玩意看起来大，所以根据我20%可能成功的定律，越大的可能越重，所以咣当一下，力量不足，摔到地上就炸了,中国-山西
小橙XiAo,female,插口的真的很容易松动 掰断都有可能,中国-浙江
I-LUV-ZIHAN,male,是首发OLED版吗？不是的话我还是等等OLED吧[doge_金箍],中国-河北
雪峰的沉默,unknown,我只关心switch2的分辨率有没有提升，有提升就买没提升就不买,中国-江苏
哥哥别网暴我,male,主机上也收到信息了,中国-广东
夜猫少爷萌缔,male,但是我真的好喜欢我老款喷3限定款的配色啊😭😭😭,中国-四川
